artist,publish_date,track
Ricky Nelson,1958-08-09,Poor Little Fool
Domenico Modugno,1958-08-09,Nel Blu Dipinto Di Blu (Volaré)
Perez Prado And His Orchestra,1958-08-09,Patricia
Bobby Darin,1958-08-09,Splish Splash
Kalin Twins,1958-08-09,When
Jack Scott,1958-08-09,My True Love
Elvis Presley With The Jordanaires,1958-08-09,Hard Headed Woman
Duane Eddy His Twangy Guitar And The Rebels,1958-08-09,Rebel-'rouser
Jimmy Clanton And His Rockets,1958-08-09,Just A Dream
The Johnny Otis Show,1958-08-09,Willie And The Hand Jive
The Coasters,1958-08-09,Yakety Yak
Pat Boone,1958-08-09,If Dreams Came True
Peggy Lee,1958-08-09,Fever
The Elegants,1958-08-09,Little Star
Frankie Avalon,1958-08-09,Ginger Bread
Doris Day,1958-08-09,Everybody Loves A Lover
The Danleers,1958-08-09,One Summer Night
Poni-Tails,1958-08-09,Born Too Late
Patti Page,1958-08-09,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up)
Jody Reynolds,1958-08-09,Endless Sleep
The Olympics,1958-08-09,Western Movies
Johnny Cash And The Tennessee Two,1958-08-09,Guess Things Happen That Way
Jerry Butler and The Impressions,1958-08-09,For Your Precious Love
The Rinky-Dinks,1958-08-09,Early In The Morning
Buddy Knox with the Rhythm Orchids,1958-08-09,Somebody Touched Me
Jimmie Rodgers,1958-08-09,Are You Really Mine
Bobby Freeman,1958-08-09,Do You Want To Dance
Johnny Mathis,1958-08-09,A Certain Smile
The Four Lads,1958-08-09,Enchanted Island
Perry Como,1958-08-09,Moon Talk
Chuck Willis,1958-08-09,What Am I Living For
The Crickets,1958-08-09,Think It Over
Bobby Day,1958-08-09,Rock-in Robin
The Everly Brothers,1958-08-09,Bird Dog
Connie Francis,1958-08-09,Stupid Cupid
Don Gibson,1958-08-09,Blue Blue Day
Dean Martin,1958-08-09,Volare (Nel Blu Dipinto Di Blu)
Big Bopper,1958-08-09,Chantilly Lace
Dean Martin,1958-08-09,Angel Baby
Jimmie Rodgers,1958-08-09,Secretly
Robin Luke,1958-08-09,Susie Darlin'
The Everly Brothers,1958-08-09,Devoted To You
Bobby Freeman,1958-08-09,Betty Lou Got A New Pair Of Shoes
Jim Reeves,1958-08-09,Blue Boy
Nat King Cole,1958-08-09,Come Closer To Me (Acercate Mas)
Sheb Wooley,1958-08-09,The Purple People Eater
The Slades,1958-08-09,You Cheated
Clyde McPhatter,1958-08-09,Come What May
Bobby Hendricks,1958-08-09,Itchy Twitchy Feeling
Faron Young,1958-08-09,Alone With You
Eddie Cochran,1958-08-09,Summertime Blues
Bobby Day,1958-08-09,Over And Over
Elvis Presley With The Jordanaires,1958-08-09,Don't Ask Me Why
Tony And Joe,1958-08-09,The Freeze
Jack Scott,1958-08-09,Leroy
Pat Boone,1958-08-09,That's How Much I Love You
The Drifters,1958-08-09,Drip Drop
Gerry Granahan,1958-08-09,"No Chemise, Please"
Dion & The Belmonts,1958-08-09,I Wonder Why
Sam Cooke,1958-08-09,Win Your Love For Me
Bobby Hamilton,1958-08-09,Crazy Eyes For You
Dean Martin,1958-08-09,Return To Me
Eydie Gorme,1958-08-09,You Need Hands
Toni Arden,1958-08-09,Padre
Jerry Lee Lewis And His Pumping Piano,1958-08-09,High School Confidential
Bill Haley And His Comets,1958-08-09,Lean Jean
The Platters,1958-08-09,You're Making A Mistake
Jimmy Bowen with the Rhythm Orchids,1958-08-09,By The Light Of The Silvery Moon
Lee Andrews And The Hearts,1958-08-09,Try The Impossible
Paul Anka,1958-08-09,Midnight
Fats Domino,1958-08-09,Little Mary
Little Anthony And The Imperials,1958-08-09,Tears On My Pillow
The Diamonds,1958-08-09,Kathy-O
The Three G's,1958-08-09,Let's Go Steady For The Summer
Marty Robbins,1958-08-09,Just Married
Jan & Arnie,1958-08-09,Jennie Lee
Royal Teens,1958-08-09,Harvey's Got A Girl Friend
Marty Robbins,1958-08-09,She Was Only Seventeen (He Was One Year More)
The Diamonds,1958-08-09,Happy Years
Tony Bennett,1958-08-09,Young And Warm And Wonderful
Nat King Cole,1958-08-09,Looking Back
Kitty Wells,1958-08-09,Jealousy
Little Willie John,1958-08-09,You're A Sweetheart
Jimmie Rodgers,1958-08-09,The Wizard
The Drifters,1958-08-09,Moonlight Bay
Johnny Cash And The Tennessee Two,1958-08-09,Come In Stranger
Boots Brown And His Blockbusters,1958-08-09,Cerveza
Joe South,1958-08-09,The Purple People Eater Meets The Witch Doctor
The Playmates,1958-08-09,Don't Go Home
The Everly Brothers,1958-08-09,All I Have To Do Is Dream
Billy Vaughn And His Orchestra,1958-08-09,La Paloma
Robert & Johnny,1958-08-09,I Believe In You
The Champs,1958-08-09,Midnighter
The Champs,1958-08-09,Chariot Rock
Jimmy Reed,1958-08-09,Down In Virginia
Tennessee Ernie Ford,1958-08-09,Sunday Barbecue
Eydie Gorme,1958-08-09,Gotta Have Rain
