SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year
1,"SODVOGB12A58A7C5B7",294868,"Live","ARPDVPJ1187B9ADBE9",,"Atlanta GA",,"Usher",0.0,212.61016,8,0.622,209.056,4,0.886,"Pianolude",1999
2,"SOQMMLD12AB017F3CC",387111,"Human Being","ARAIABB1187B9AC6E2",,"Paddington London England",,"Seal",0.0,354.76853,5,0.486,153.731,4,0.523,"Still Love Remains (Album Version)",1998
3,"SOQONHY12AC468A056",599643,"Open Up And Say...@<%_|^[!]: A Tigerbeat6 Compilation","ARVHJV91187B9B7C91",,"",,"Terminal 11 feat. b.b0Nd",0.0,114.83383,1,0.632,127.355,4,0.622,"In Place Of Love [edit]",0
4,"SOYKZHI12A58A7BEE9",381182,"It's Great To Be Alive","ARUAOGE1187B9B3D50",,"",,"Fake Problems",0.0,195.47383,0,0.745,103.776,3,1.0,"Tabernacle Song",2009
5,"SOGSQEE12AC4687265",686907,"Sheltered","ARADC5W1187B993322",36.16778,"NASHVILLE US",-86.77836,"Dottie Rambo_ The Whites",0.0,130.29832,2,0.137,103.014,4,0.979,"New Shoes",0
6,"SOEAASN12A58A7932D",674068,"Dr. Nos Ethiopium","ARXHFWE1187FB410A9",34.20034,"Oxnard CA",-119.18044,"Oh No",0.0,110.57587,3,0.582,128.116,3,1.0,"Soul of Ethiopia",2009
7,"SOFUNPN12A8C13B387",2022,"The Middle Of Nowhere","ARD5K161187B9AC784",51.27562,"Sevenoaks United Kingdom",0.17898,"Orbital",0.0,467.53914,6,0.717,91.364,5,0.996,"I Don't Know You People",1999
8,"SOEHBKH12A8C139741",158319,"Rendez Vous Au Balajo","ARQC4R31187B9A0D88",,"",,"Jo Privat",0.0,122.72281,9,0.014,122.13,4,0.433,"Ay ! Mi Sombrero",0
9,"SOLJYHM12AB0186497",459993,"The Latin Side Of Vince Guaraldi","AR1RHCO1187B9AF0BF",37.77916,"San Francisco CA",-122.42005,"Vince Guaraldi",0.0,201.42975,9,0.434,124.391,3,0.318,"Corcovado",1964
10,"SOYJMPE12A6D4F4BB6",78918,"The Trashcan Electric E.P.","ARAFRFP1187FB4230B",,"",,"Williamson",0.0,223.81669,11,0.908,140.003,4,0.0,"Cool People Make Me Tired",2005
11,"SOCISCT12AB0180021",386707,"Les Increvable N2","ARD7U0O1187FB5531A",49.34463,"Neuilly-sous-Clermont (Oise)",2.40955,"André Verchuren",0.0,170.1873,7,0.804,137.192,1,0.0,"Aviatic",1989
12,"SOKCQWQ12AB0189111",727695,"And The Beat Goes Om","ARI28VJ1187FB4EAD7",,"",,"Slackbaba",0.0,488.25424,0,0.326,68.0,1,0.0,"And The Beat Goes Om",2006
13,"SOTQGSB12AB01894AE",649320,"Noble Things ST","AR3AY3R1187FB52CF0",,"Vidor TX",,"Tracy Byrd",0.0,190.27546,9,0.567,137.528,4,0.0,"Take Me Fishin'",0
14,"SOFLOGZ12A8C13C69F",210460,"Very Best Of","ARV21JS1187B99E516",40.73197,"Newark NJ",-74.17418,"Jerry Lewis",0.0,142.73261,7,0.485,124.877,4,1.0,"It All Depends On You",1995
15,"SOTGRAB12A6D4FA555",599583,"Toca Me","AR343TM1187B99DEFE",,"",,"Flexy",0.0,241.97179,8,0.089,126.034,4,0.942,"Toca Me (Album Version)",0
16,"SOYPREH12A6D4F6EF4",55322,"Phil Spector's Wall Of Sound Retrospective Phillies Sound 1961-1996","AR4M1KM1187B9AC7E2",,"New York NY [The Bronx]",,"Phil Spector",0.0,130.61179,0,0.863,101.166,4,0.0,"Spanish Harlem",0
17,"SOIUCMV12AB017DEDB",403572,"Quand L'Humain Danse","ARYVLXY1187FB373B0",50.82056,"Ixelles Belgium",4.37967,"Maurane / Lara Fabian",0.0,198.86975,0,0.588,107.087,4,0.961,"Mais La Vie",2003
18,"SOZASXE12A58A7F12B",225156,"The Other Side Of The Looking Glass","ARHG53Q1187B9ACBFC",32.67828,"Georgia",-83.22295,"Alias",0.0,310.72608,1,0.835,111.67,3,1.0,"Dying To Stay",0
19,"SOCLDAW12A8C144BEC",374550,"Le Roi de la Bossa Nova","ARQCHDN1187FB4C7C2",-22.97673,"Rio de Janeiro Brazil",-43.19508,"Luiz Bonfa",0.0,141.40036,2,0.345,194.099,4,0.548,"Santeleco",2005
